"Tipo_Aquisicao","Municipio","Origem","Comarca","Conta_Contabil","Cod_Produto","Qtd_Comprada","Valor_a_receber","Valor_Comprado","Restituido"
"Outros","CARUARU","PRIVADO","JFPE","NUTRIÇÃO","4008774.21",28800,5760,5760,"Sim"
"Outros","TIMBAÚBA","FILANTRÓPICO","JFPE","NUTRIÇÃO","3223060.21",200,48,48,"Nao"
"Outros","MORENO","FILANTRÓPICO","JFPE","NUTRIÇÃO","3223060.21",200,25,48,"Nao"
"Outros","RECIFE","SUS","JEFPC","NUTRIÇÃO","4135512.21",12000,5880,5880,"Sim"
"Outros","NAZARÉ DA MATA","PRIVADO","NAZARÉ DA MATA","NUTRIÇÃO","3223060.21",220800,"52484.16","52484.16","Nao"
"Outros","RECIFE","SUS","JEFPC","MEDICAMENTOS","4243900.1176",48,"56929.44","56929.44","Sim"
"Outros","SANTA MARIA DA BOA VISTA","FILANTRÓPICO","JFPE","MEDICAMENTOS","3445321.1",540,13500,13500,"Nao"
"Outros","RECIFE","FILANTRÓPICO","JEFPC","MEDICAMENTOS","3360814.1",18,"20510.46","20510.46","Sim"
"Outros","SÃO BENTO DO UNA","PRIVADO","SÃO BENTO DO UNA","MEDICAMENTOS","4105362.1",8,"25678.22","67189.36","Nao"
"Outros","RECIFE","SUS","JEFPC","MEDICAMENTOS","4048482.1176",1,"3205.12","5286.58","Nao"
"Outros","RECIFE","PRIVADO","JEFPC","MEDICAMENTOS","3587509.1473",540,"71222.78","74644.2","Nao"
"Outros","RECIFE","PRIVADO","TJPE","MEDICAMENTOS","438578-0.1653",7,"76157.34","76157.34","Sim"
"Outros","RECIFE","SUS","TJPE","MEDICAMENTOS","4385780.1653",7,45000,"76157.34","Sim"
"Outros","RIACHO DAS ALMAS","SUS","TJPE","MEDICAMENTOS","4015967.1653",2,18456,"19111.64","Sim"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","MATERIAL MEDICO HOSPITALAR","432942-2.1",1,21000,21000,"Nao"
"Outros","PAULISTA","NÃO INFORMADO","PAULISTA","MEDICAMENTOS","3971457.1653",100,11000,14000,"Sim"
"Outros","JABOATÃO DOS GUARARAPES","SUS","RECIFE","NUTRIÇÃO","2877830.1",63000,1700,1890,"Nao"
"Outros","PAULISTA","SUS","PAULISTA","MEDICAMENTOS","4059581.1988",1080,11322,"20379.6","Sim"
"Outros","CARUARU","NÃO INFORMADO","RECIFE","MEDICAMENTOS","3372090.1",1260,1000,"2091.6","Sim"
"Outros","RECIFE","FILANTRÓPICO","TJPE","MEDICAMENTOS","3366707.1",910,25000,"37209.9","Sim"
"Outros","PETROLINA","PRIVADO","PETROLINA","MEDICAMENTOS","3475670.1",60,80000,"96683.4","Nao"
"Outros","CABROBÓ","PRIVADO","PETROLINA","MEDICAMENTOS","3387925.1473",1080,"14072.4","14072.4","Sim"
"Outros","NÃO INFORMADO","SUS","RECIFE","MEDICAMENTOS","4048482.1771",12,"101502.24","101502.24","Sim"
"Outros","VICÊNCIA","SUS","VICÊNCIA","MEDICAMENTOS","4048482.1176",24,"126877.92","126877.92","Nao"
"Outros","CABO DE SANTO AGOSTINHO","FILANTRÓPICO","CABO DE SANTO AGOSTINHO","MEDICAMENTOS","4048482.1771",6,"50751.12","50751.12","Nao"
"Outros","RECIFE","FILANTRÓPICO","JFPE","MEDICAMENTOS","4315740.1911",360,"72367.2","72367.2","Sim"
"Outros","PAULISTA","SUS","PAULISTA","NUTRIÇÃO","3437817.21",24000,3600,3600,"Nao"
"Outros","CARUARU","FILANTRÓPICO","CARUARU","MEDICAMENTOS","3065340.1",20,"4.2","4.2","Nao"
"Outros","ARCOVERDE","SUS","ARCOVERDE","MEDICAMENTOS","3335577.1",90,"104.4","104.4","Sim"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3274543.1",400,868,868,"Nao"
"Outros","IGARASSU","SUS","IGARASSU","MEDICAMENTOS","3227634.1473",56,"118.72","118.72","Sim"
"Outros","IGARASSU","SUS","IGARASSU","MEDICAMENTOS CONTROLADOS","3068250.1",440,66,66,"Nao"
"Outros","JABOATÃO DOS GUARARAPES","SUS","RECIFE","MEDICAMENTOS CONTROLADOS","3373924.1",60,"97.2","97.2","Sim"
"Outros","ARCOVERDE","FILANTRÓPICO","ARCOVERDE","MEDICAMENTOS CONTROLADOS","3181685.1473",180,"32.4","32.4","Nao"
"Outros","RECIFE","PRIVADO","RECIFE","MEDICAMENTOS CONTROLADOS","3374645.1911",30,"66.6","66.6","Nao"
"Outros","JABOATÃO DOS GUARARAPES","SUS","RECIFE","MEDICAMENTOS CONTROLADOS","3196410.1911",90,"38.7","38.7","Nao"
"Outros","JABOATÃO DOS GUARARAPES","PRIVADO","JABOATÃO DOS GUARARAPES","NUTRIÇÃO","4313445.21",24000,1440,1440,"Sim"
"Outros","VITÓRIA DE SANTO ANTÃO","FILANTRÓPICO","VITÓRIA DE SANTO ANTÃO","NUTRIÇÃO","2439760.21",2400,900,1008,"Sim"
"Outros","RECIFE","SUS","JEFPC","NUTRIÇÃO","3437817.21",36000,2300,5400,"Sim"
"Outros","LAGOA DO OURO","SUS","RECIFE","NUTRIÇÃO","4397380.21",8100,324,324,"Nao"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","NUTRIÇÃO","3223060.21",24000,5880,5880,"Sim"
"Outros","CARPINA","FILANTRÓPICO","CARPINA","NUTRIÇÃO","2400820.21",48000,4080,4080,"Nao"
"Outros","SERRA TALHADA","SUS","TJPE","MEDICAMENTOS","3428940.1990",180,"709.2","709.2","Sim"
"Outros","CABO DE SANTO AGOSTINHO","SUS","CABO DE SANTO AGOSTINHO","MEDICAMENTOS CONTROLADOS","3940969.1",600,2538,2538,"Sim"
"Outros","RECIFE","FILANTRÓPICO","JEFPC","MEDICAMENTOS","370958-2.1473",1800,1080,1080,"Sim"
"Outros","OROBÓ","SUS","OROBÓ","MEDICAMENTOS","4243900.1176.1465",2,19000,4564,"Nao"
"Outros","PAULISTA","NÃO INFORMADO","PAULISTA","MEDICAMENTOS","3360679.1653",4,3489,"4699.6","Sim"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","345861-0.1176",30,"4775.1","4775.1","Sim"
"Outros","GOIANA","SUS","GOIANA","MEDICAMENTOS","3458610.1176",30,2300,"4775.1","Nao"
"Outros","PETROLINA","NÃO INFORMADO","JFPE","MEDICAMENTOS","3928004.1473",180,"64.8",972,"Nao"
"Outros","PETROLINA","NÃO INFORMADO","JFPE","MEDICAMENTOS","383001-2.771",20,0,3669,"Sim"
"Outros","SÃO LOURENÇO DA MATA","FILANTRÓPICO","SÃO LOURENÇO DA MATA","MEDICAMENTOS","3241050.113",16,0,"4083.84","Nao"
"Outros","GRAVATÁ","SUS","GRAVATÁ","NUTRIÇÃO","3522130.21",9600,0,960,"Nao"
"Outros","RECIFE","FILANTRÓPICO","JEFPC","MEDICAMENTOS CONTROLADOS","3925650.1990",180,0,"168.12","Sim"
"Outros","GOIANA","SUS","GOIANA","MEDICAMENTOS","3345734.1",6,0,"2730.84","Nao"
"Outros","EXU","PRIVADO","EXÚ","MEDICAMENTOS","308916-9.1988",4,"4661.4","4661.4","Sim"
"Outros","MANARI","FILANTRÓPICO","INAJÁ","MEDICAMENTOS","3089169.1988",4,0,"4661.4","Nao"
"Outros","CAMARAGIBE","SUS","CAMARAGIBE","MEDICAMENTOS CONTROLADOS","3450325.1",60,0,"4870.2","Sim"
"Outros","LIMOEIRO","SUS","LIMOEIRO","NUTRIÇÃO","423571-1.21",5760,0,"1612.8","Nao"
"Outros","BELO JARDIM","PRIVADO","CARUARU","MEDICAMENTOS CONTROLADOS","3380025.1990",5700,5130,5130,"Nao"
"Outros","FLORES","SUS","FLORES","MATERIAL MEDICO HOSPITALAR","3133036.1",1500,0,1050,"Nao"
"Outros","PETROLINA","FILANTRÓPICO","JFPE","MATERIAL MEDICO HOSPITALAR","2000792.1",1620,0,"1603.8","Sim"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","MEDICAMENTOS CONTROLADOS","3294960.1",540,0,"6658.2","Sim"
"Outros","CUPIRA","SUS","CUPIRA","MEDICAMENTOS","3633764.1",18,0,"43357.86","Sim"
"Outros","CABO DE SANTO AGOSTINHO","NÃO INFORMADO","CABO DE SANTO AGOSTINHO","MEDICAMENTOS","363376-4.1",18,"43357.86","43357.86","Nao"
"Outros","OLINDA","PRIVADO","OLINDA","MEDICAMENTOS","368701-5.1988",50,"57786.5","57786.5","Sim"
"Outros","BARREIROS","SUS","BARREIROS","MEDICAMENTOS","3687015.2335",50,0,"57786.5","Nao"
"Outros","CUSTÓDIA","FILANTRÓPICO","TJPE","MEDICAMENTOS","3635708.1",392,0,"1121.12","Sim"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3196534.1",308,0,"588.28","Sim"
"Outros","RECIFE","SUS","JFPE","MEDICAMENTOS","320671-8.1",196,"329.28","329.28","Sim"
"Outros","CUSTÓDIA","FILANTRÓPICO","CUSTÓDIA","MEDICAMENTOS","3206718.1",196,0,"329.28","Nao"
"Outros","CABO DE SANTO AGOSTINHO","SUS","CABO DE SANTO AGOSTINHO","MEDICAMENTOS","398795-7.1696",360,"6033.6","6033.6","Sim"
"Outros","PALMARES","SUS","PALMARES","MEDICAMENTOS","3987957.2336",360,0,"6033.6","Sim"
"Outros","OLINDA","SUS","OLINDA","MEDICAMENTOS","3335577.1",2400,0,1560,"Nao"
"Outros","ARARIPINA","PRIVADO","ARARIPINA","MEDICAMENTOS","337523-4.1",9000,12150,12150,"Nao"
"Outros","ARARIPINA","NÃO INFORMADO","TJPE","MEDICAMENTOS","3375234.1",9000,"16.2",12150,"Sim"
"Outros","ARARIPINA","PRIVADO","TJPE","MEDICAMENTOS CONTROLADOS","334658-7.1990",180,"910.8","910.8","Nao"
"Outros","RECIFE","PRIVADO","JEFPC","MEDICAMENTOS CONTROLADOS","3346587.1990",180,0,"910.8","Nao"
"Outros","RECIFE","SUS","RECIFE","NUTRIÇÃO","2877880.21",9600,0,888,"Sim"
"Outros","PETROLINA","PRIVADO","PETROLINA","MEDICAMENTOS","3074250.1",360,72,1080,"Nao"
"Outros","RECIFE","SUS","JFPE","MEDICAMENTOS","3840905.1",180,"90617.4","90617.4","Sim"
"Outros","GARANHUNS","FILANTRÓPICO","GARANHUNS","MEDICAMENTOS","3470474.1772",8,0,"34356.8","Nao"
"Outros","RECIFE","PRIVADO","TJPE","NUTRIÇÃO","3223060.21",24000,0,5880,"Sim"
"Outros","RECIFE","SUS","RECIFE","NUTRIÇÃO","3959066.21",1400,0,266,"Nao"
"Outros","CABO DE SANTO AGOSTINHO","FILANTRÓPICO","CABO DE SANTO AGOSTINHO","MATERIAL MEDICO HOSPITALAR","2000792.1",4,0,"3.96","Nao"
"Outros","CARUARU","PRIVADO","JFPE","MEDICAMENTOS","3892522.1990",600,0,600,"Nao"
"Outros","SÃO JOSÉ DO EGITO","PRIVADO","SÃO JOSÉ DO EGITO","MEDICAMENTOS CONTROLADOS","4198123.1990",224,0,"1113.28","Sim"
"Outros","VITÓRIA DE SANTO ANTÃO","NÃO INFORMADO","RECIFE","MEDICAMENTOS CONTROLADOS","3339580.1473",600,0,1596,"Sim"
"Outros","VITÓRIA DE SANTO ANTÃO","PRIVADO","RECIFE","MEDICAMENTOS","1750852.1",5,0,"3890.2","Sim"
"Outros","POÇÃO","SUS","POÇÃO","MEDICAMENTOS","3429652.1911",120,0,"12458.4","Nao"
"Outros","RECIFE","SUS","RECIFE","NUTRIÇÃO","2347130.335",15000,0,34050,"Sim"
"Outros","PALMARES","FILANTRÓPICO","PALMARES","NUTRIÇÃO","3461130.1",283200,25488,25488,"Nao"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","NUTRIÇÃO","2533154.21",250,0,"582.5","Sim"
"Outros","PETROLINA","SUS","PETROLINA","MEDICAMENTOS CONTROLADOS","3201597.1",2100,0,588,"Sim"
"Outros","PESQUEIRA","SUS","PESQUEIRA","MEDICAMENTOS","3201791.839",12,0,"122.88","Sim"
"Outros","GRAVATÁ","FILANTRÓPICO","CARUARU","MEDICAMENTOS","350016.1990",540,0,1701,"Nao"
"Outros","OLINDA","FILANTRÓPICO","OLINDA","MEDICAMENTOS CONTROLADOS","3323234.1",5100,0,2907,"Sim"
"Outros","PAULISTA","SUS","RECIFE","MEDICAMENTOS","4201477.1990",360,"18849.6","18849.6","Sim"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","NUTRIÇÃO","3383130.21",16000,0,7840,"Nao"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","MATERIAL MEDICO HOSPITALAR","2939568.1",2800,0,"4557.84","Nao"
"Outros","VITÓRIA DE SANTO ANTÃO","FILANTRÓPICO","JFPE","NUTRIÇÃO","3039170.1",1506000,0,"32077.8","Sim"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3476251.1911",1344,0,"72979.2","Nao"
"Outros","RECIFE","SUS","JEFPC","MEDICAMENTOS","3389146.1",6,0,"14352.6","Nao"
"Outros","LAJEDO","PRIVADO","GARANHUNS","NUTRIÇÃO","3437817.21",16800,0,2520,"Sim"
"Outros","RECIFE","FILANTRÓPICO","JEFPC","SUPRIMENTOS","4332270.1",1080,0,"950.4","Nao"
"Outros","FLORES","SUS","FLORES","MEDICAMENTOS","3378098.1911",90,0,"802.8","Sim"
"Outros","CABO DE SANTO AGOSTINHO","SUS","CABO DE SANTO AGOSTINHO","MEDICAMENTOS","3378098.1911",90,0,"802.8","Nao"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3470474.1772",2,0,"8589.2","Sim"
"Outros","RECIFE","FILANTRÓPICO","JEFPC","NUTRIÇÃO","4102940.1361",223200,0,31248,"Nao"
"Outros","IGARASSU","FILANTRÓPICO","IGARASSU","NUTRIÇÃO","3517306.1361",192000,0,2880,"Nao"
"Outros","IGARASSU","FILANTRÓPICO","IGARASSU","MEDICAMENTOS CONTROLADOS","3167399.1",1200,0,864,"Nao"
"Outros","CABO DE SANTO AGOSTINHO","FILANTRÓPICO","CABO DE SANTO AGOSTINHO","MEDICAMENTOS CONTROLADOS","3167437.1473",360,0,"140.4","Sim"
"Outros","PASSIRA","SUS","RECIFE","MEDICAMENTOS","3718220.1",720,0,"1216.8","Sim"
"Outros","JABOATÃO DOS GUARARAPES","NÃO INFORMADO","JABOATÃO DOS GUARARAPES","MEDICAMENTOS","3445321.1",540,0,"10216.8","Sim"
"Outros","NÃO INFORMADO","SUS","RECIFE","NUTRIÇÃO","3223060.21",74400,0,18228,"Nao"
"Outros","RECIFE","PRIVADO","JFPE","MEDICAMENTOS","4213327.1911",720,0,"51055.2","Sim"
"Outros","ITAPISSUMA","FILANTRÓPICO","ITAPISSUMA","NUTRIÇÃO","2958325.1361",30000,0,2700,"Nao"
"Outros","QUIPAPÁ","SUS","RECIFE","MEDICAMENTOS","3279138.1473",100,0,24,"Sim"
"Outros","VITÓRIA DE SANTO ANTÃO","FILANTRÓPICO","JFPE","MEDICAMENTOS","3335577.1",30,0,"24.9","Sim"
"Outros","RECIFE","SUS","TJPE","MEDICAMENTOS","3341054.1",2,0,"636.6","Sim"
"Outros","PESQUEIRA","SUS","PESQUEIRA","MEDICAMENTOS","3847420.1473",200,0,"122.12","Nao"
"Outros","GARANHUNS","FILANTRÓPICO","GARANHUNS","MEDICAMENTOS","3410528.1473",100,0,"124.91","Sim"
"Outros","GARANHUNS","FILANTRÓPICO","GARANHUNS","MEDICAMENTOS CONTROLADOS","3201597.1",30,0,"8.4","Sim"
"Outros","NÃO INFORMADO","NÃO INFORMADO","RECIFE","NUTRIÇÃO","1501410.1361",6600,0,396,"Nao"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","MEDICAMENTOS","3470474.1772",12,0,"51535.2","Nao"
"Outros","VITÓRIA DE SANTO ANTÃO","FILANTRÓPICO","RECIFE","MEDICAMENTOS","3470474.1772",2,0,"8589.2","Sim"
"Outros","IGUARACY","FILANTRÓPICO","AFOGADOS DA INGAZEIRA","MEDICAMENTOS","3503348.1",15,0,"61524.3","Nao"
"Outros","ABREU E LIMA","SUS","JFPE","MEDICAMENTOS","3371646.1473",1440,100,3600,"Nao"
"Outros","VICÊNCIA","NÃO INFORMADO","VICÊNCIA","NUTRIÇÃO","3223060.21",9600,0,2352,"Sim"
"Outros","IGARASSU","SUS","JFPE","MEDICAMENTOS","3206718.1",196,0,"472.36","Nao"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","4105362.1",8,0,"67189.36","Sim"
"Outros","VITÓRIA DE SANTO ANTÃO","PRIVADO","VITÓRIA DE SANTO ANTÃO","MEDICAMENTOS","4380207.1990",180,56633256,56633256,"Nao"
"Outros","GRAVATÁ","NÃO INFORMADO","GRAVATÁ","MEDICAMENTOS","4243900.1176",2,0,4564,"Sim"
"Outros","VITÓRIA DE SANTO ANTÃO","FILANTRÓPICO","RECIFE","MEDICAMENTOS","3346650.1653",30,0,"99947.4","Nao"
"Outros","CARUARU","SUS","CARUARU","NUTRIÇÃO","2877830.1",12000,0,360,"Nao"
"Outros","SALGUEIRO","FILANTRÓPICO","SALGUEIRO","MEDICAMENTOS","3696332.1714",2,0,"22617.8372","Nao"
"Outros","RECIFE","SUS","JEFPC","MATERIAL MEDICO HOSPITALAR","3133036.1",190,0,"153.9","Sim"
"Outros","RECIFE","SUS","TJPE","MEDICAMENTOS","3869059.1653",6,0,"3124.32","Sim"
"Outros","SÃO JOSÉ DO EGITO","SUS","SÃO JOSÉ DO EGITO","MEDICAMENTOS","3696332.1714",2,0,"22617.84","Sim"
"Outros","BOM CONSELHO","SUS","BOM CONSELHO","MEDICAMENTOS","3114023.1653",4,0,"8782.64","Nao"
"Outros","BOM CONSELHO","SUS","BOM CONSELHO","MEDICAMENTOS","3694461.1911",180,0,"437.4","Sim"
"Outros","RECIFE","SUS","JEFPC","MEDICAMENTOS","3373894.1",100,0,294,"Nao"
"Outros","IGARASSU","NÃO INFORMADO","IGARASSU","MEDICAMENTOS","3341054.1",9,0,"2864.7","Sim"
"Outros","SANTA CRUZ DO CAPIBARIBE","FILANTRÓPICO","SANTA CRUZ DO CAPIBARIBE","MEDICAMENTOS","3541444.1034",65,0,"2267.85","Sim"
"Outros","RECIFE","FILANTRÓPICO","TJPE","MEDICAMENTOS","3347796.1",90,0,"218.7","Sim"
"Outros","CARUARU","FILANTRÓPICO","JFPE","MEDICAMENTOS","3410501.1",360,0,"22384.8","Nao"
"Outros","LAGOA DE ITAENGA","SUS","RECIFE","MEDICAMENTOS","3377563.1911",28,0,"5400.64","Sim"
"Outros","JABOATÃO DOS GUARARAPES","SUS","JABOATÃO DOS GUARARAPES","MEDICAMENTOS","3167682.1473",100,0,47,"Sim"
"Outros","OLINDA","NÃO INFORMADO","RECIFE","MEDICAMENTOS","3587509.1473",60,0,"8293.8","Nao"
"Outros","IPOJUCA","SUS","JEFPC","MEDICAMENTOS","3878686.1990",84,0,"193.2","Nao"
"Outros","ESCADA","SUS","JFPE","MEDICAMENTOS CONTROLADOS","3393852.1",90,0,"1093.5","Sim"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","MEDICAMENTOS CONTROLADOS","3068633.1",160,0,"38.4","Nao"
"Outros","RECIFE","PRIVADO","RECIFE","MEDICAMENTOS CONTROLADOS","3111857.1911",90,0,"5.4","Nao"
"Outros","GARANHUNS","PRIVADO","GARANHUNS","MEDICAMENTOS CONTROLADOS","4147197.1990",60,0,"172.8","Sim"
"Outros","PAULISTA","SUS","JFPE","MEDICAMENTOS CONTROLADOS","3374645.1911",90,0,"199.8","Nao"
"Outros","CARUARU","SUS","CARUARU","MEDICAMENTOS CONTROLADOS","3355586.1990",90,0,99,"Sim"
"Outros","CABO DE SANTO AGOSTINHO","SUS","CABO DE SANTO AGOSTINHO","MEDICAMENTOS","3390861.1765",50,0,"1420.5","Nao"
"Outros","SERTÂNIA","SUS","SERTÂNIA","MEDICAMENTOS","3847420.1473",60,0,"36.6","Sim"
"Outros","PAULISTA","SUS","PAULISTA","MEDICAMENTOS","3718220.1",62,0,"106.64","Nao"
"Outros","ESCADA","PRIVADO","ESCADA","MEDICAMENTOS","3471810.1650",2,0,"631.06","Nao"
"Outros","GRAVATÁ","PRIVADO","TJPE","MEDICAMENTOS CONTROLADOS","3882519.1990",320,0,368,"Nao"
"Outros","CAMARAGIBE","SUS","JFPE","MEDICAMENTOS CONTROLADOS","4147197.1990",60,0,"172.8","Sim"
"Outros","RECIFE","SUS","PETROLINA","NUTRIÇÃO","4313445.21",24000,0,1440,"Sim"
"Outros","SIRINHAÉM","FILANTRÓPICO","RECIFE","ANTIMICROBIANOS","3069710.1",42,0,"7.56","Sim"
"Outros","SIRINHAÉM","SUS","RECIFE","MEDICAMENTOS","3925471.1653",5,0,"8071.55","Nao"
"Outros","RECIFE","FILANTRÓPICO","JEFPC","MEDICAMENTOS","3366715.1",13,0,"151055.19","Sim"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","MEDICAMENTOS","3246213.113",15,0,"31466.4","Nao"
"Outros","RECIFE","SUS","JEFPC","MEDICAMENTOS","3696332.1714",17,0,"228790.76","Sim"
"Outros","PAUDALHO","SUS","PAUDALHO","MEDICAMENTOS","3201511.1473",8,0,"4.64","Sim"
"Outros","RECIFE","PRIVADO","JEFPC","MEDICAMENTOS","3885550.1",3,0,"5011.23","Sim"
"Outros","MORENO","PRIVADO","MORENO","EQUIPAMENTOS HOSPITALARES / MOBILIÁRIOS","4018559.1",1,0,"1301.65","Nao"
"Outros","OLINDA","PRIVADO","OLINDA","MEDICAMENTOS","3372600.1",315,"2750.85","57767.85","Sim"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3372600.1",945,"2750.85","173303.55","Sim"
"Outros","IGARASSU","SUS","IGARASSU","MEDICAMENTOS","3378098.1911",90,0,"792.9","Nao"
"Outros","MORENO","SUS","MORENO","MEDICAMENTOS","3840905.1",540,0,"275167.8","Nao"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","NUTRIÇÃO","2877880.21",60000,0,5100,"Sim"
"Outros","CABO DE SANTO AGOSTINHO","SUS","CABO DE SANTO AGOSTINHO","NUTRIÇÃO","3522130.21",12000,0,960,"Nao"
"Outros","TIMBAÚBA","FILANTRÓPICO","TIMBAÚBA","MEDICAMENTOS","3503348.1",30,0,"154815.9","Nao"
"Outros","ABREU E LIMA","SUS","PAULISTA","MEDICAMENTOS","4610032.1990",180,0,"590.4","Sim"
"Outros","ABREU E LIMA","SUS","PAULISTA","MEDICAMENTOS","4169255.1911",180,0,"383.4","Nao"
"Outros","CABO DE SANTO AGOSTINHO","FILANTRÓPICO","CABO DE SANTO AGOSTINHO","MEDICAMENTOS CONTROLADOS","3393860.1",180,0,"4330.8","Sim"
"Outros","BUÍQUE","SUS","ARCOVERDE","MEDICAMENTOS CONTROLADOS","4568133.1473",180,0,"2887.2","Nao"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3924092.1911",2200,"4468.42","4468.42","Sim"
"Outros","CONDADO","PRIVADO","CONDADO","MEDICAMENTOS","3366707.1",210,0,"7104.3","Nao"
"Outros","AFOGADOS DA INGAZEIRA","FILANTRÓPICO","AFOGADOS DA INGAZEIRA","MEDICAMENTOS","3377881.1",14,0,3262,"Nao"
"Outros","OLINDA","SUS","OLINDA","MEDICAMENTOS","3457800.1",210,0,"10443.3","Nao"
"Outros","RECIFE","PRIVADO","JEFPC","MEDICAMENTOS","3381960.1",182,0,"342.16","Sim"
"Outros","RECIFE","FILANTRÓPICO","JEFPC","MEDICAMENTOS","3885550.2269",3,0,"5011.23","Sim"
