"Tipo_Aquisicao","Municipio","Origem","Comarca","Conta_Contabil","Qtd_Comprada","Valor_a_receber","Valor_Comprado"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",180,0,"24825.6"
"Adesão","Zona_da_mata","FILANTRÓPICO","JFPE","MEDICAMENTOS",60,0,"310628.4"
"Pregão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",150,0,47997
"Pregão","Agreste","SUS","JEFPC","MEDICAMENTOS",83,0,"211587.75"
"Pregão","Sertao","NÃO INFORMADO","Olinda","MEDICAMENTOS",1080,0,116910
"Pregão","Grande_recife","SUS","JFPE","MEDICAMENTOS",504,0,"66507.84"
"Pregão","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS",546,"6055.14","78716.82"
"Pregão","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",3920,0,"21638.4"
"Adesão","Grande_recife","SUS","Recife","MEDICAMENTOS",5138,0,565180
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",9000,0,5220
"Adesão","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",1800,0,45270
"Pregão","Zona_da_mata","FILANTRÓPICO","TJPE","MEDICAMENTOS",1680,0,"318343.2"
"Pregão","Agreste","NÃO INFORMADO","Recife","MEDICAMENTOS",600,0,"21658.02"
"Pregão","Grande_recife","SUS","JEFPC","MEDICAMENTOS",2100,0,1113
"Pregão","Agreste","SUS","TJPE","MEDICAMENTOS",940,0,"1485.2"
"Pregão","Agreste","SUS","Recife","MEDICAMENTOS",340,0,"3253.8"
"Pregão","Grande_recife","SUS","TJPE","MEDICAMENTOS CONTROLADOS",4500,0,"2100.15"
"Pregão","Grande_recife","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",6480,0,3650184
"Adesão","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",840,"43982.4","43982.4"
"Outros","Agreste","SUS","Olinda","MEDICAMENTOS",1650,0,"23017.5"
"Outros","Grande_recife","FILANTRÓPICO","Olinda","MEDICAMENTOS",140,0,"29380.4"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",190,0,"2044.4"
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",210,0,"2095.8"
"Pregão","Sertao","SUS","JFPE","MEDICAMENTOS",58,0,"93253.56"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",100,0,79
"Outros","Zona_da_mata","NÃO INFORMADO","Recife","MEDICAMENTOS",2,0,"901.88"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",1,0,"9342.9"
"Adesão","Grande_recife","SUS","Recife","MEDICAMENTOS",60000,0,4182600
"Pregão","Agreste","SUS","JEFPC","MEDICAMENTOS",490,0,25235
"Pregão","Sertao","SUS","Olinda","MEDICAMENTOS",20,0,"7435.6"
"Pregão","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS",7200,0,7344
"Outros","Sertao","SUS","JFPE","MEDICAMENTOS",25,0,"50717.5"
"Outros","Grande_recife","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",13,0,"121457.7"
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",1090,0,"1368527.7"
"Pregão","Grande_recife","SUS","Recife","MATERIAL MEDICO HOSPITALAR",160000,0,70400
"Outros","Grande_recife","FILANTRÓPICO","Recife","ANTIMICROBIANOS",6,0,1074
"Outros","Zona_da_mata","PRIVADO","TJPE","MEDICAMENTOS",28,0,"36900.36"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",16,0,"27626.56"
"Outros","Grande_recife","NÃO INFORMADO","JEFPC","MEDICAMENTOS",1320,0,"17780.4"
"Outros","Agreste","SUS","TJPE","MEDICAMENTOS",28,0,"2916.48"
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",15,0,"6764.1"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",120,0,"16.8"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",600,0,42378
"Outros","Grande_recife","PRIVADO","Jaboatao","MEDICAMENTOS",84,0,"40334.28"
"Outros","Agreste","SUS","Olinda","MEDICAMENTOS",30,0,"322.8"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS CONTROLADOS",81,0,"120.69"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",120,0,"1197.6"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",364,0,"152.88"
"Adesão","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",900,0,378
"Adesão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",360,720,720
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",22,0,"593.78"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",30,0,"322.8"
"Outros","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",470,0,"48790.7"
"Outros","Agreste","FILANTRÓPICO","JEFPC","MEDICAMENTOS",2,0,"504532.86"
"Outros","Sertao","SUS","Olinda","MEDICAMENTOS",3,0,"749469.06"
"Outros","Grande_recife","SUS","JFPE","MEDICAMENTOS",9,0,"242.91"
"Outros","Sertao","SUS","JFPE","NUTRIÇÃO",8400,0,4116
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MATERIAL MEDICO HOSPITALAR",60,0,"627.6"
"Outros","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",16,0,"8657.76"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",20,0,"539.8"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",28,0,"43.4"
"Pregão","Zona_da_mata","FILANTRÓPICO","TJPE","MEDICAMENTOS",1500,0,150
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",210,0,"390142.2"
"Outros","Grande_recife","NÃO INFORMADO","JEFPC","ANTIMICROBIANOS",15,0,2685
"Outros","Agreste","PRIVADO","TJPE","MEDICAMENTOS",2,0,70
"Outros","Agreste","NÃO INFORMADO","Recife","MEDICAMENTOS CONTROLADOS",30,0,"299.4"
"Outros","Grande_recife","SUS","TJPE","MATERIAL MEDICO HOSPITALAR",320,0,1600
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",84,0,"803882.52"
"Adesão","Grande_recife","PRIVADO","Jaboatao","MATERIAL MEDICO HOSPITALAR",12000,0,3240
"Pregão","Agreste","SUS","Olinda","NUTRIÇÃO",14400,0,15696
"Pregão","Grande_recife","SUS","Olinda","NUTRIÇÃO",57600,0,8064
"Pregão","Zona_da_mata","FILANTRÓPICO","Recife","NUTRIÇÃO",38400,0,9216
"Outros","Agreste","SUS","Recife","EQUIPAMENTOS HOSPITALARES / MOBILIÁRIOS",1,0,"10571.43"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS",600,0,1992
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",84,0,"141.96"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",336,0,"40716.48"
"Outros","Zona_da_mata","FILANTRÓPICO","JFPE","ANTIMICROBIANOS",600,0,1026
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS CONTROLADOS",60,0,"598.8"
"Outros","Agreste","NÃO INFORMADO","JEFPC","MEDICAMENTOS",168,0,"40686.24"
"Dispensa","Sertao","SUS","Olinda","NUTRIÇÃO",19200,0,"921.6"
"Dispensa","Grande_recife","SUS","JFPE","MEDICAMENTOS",4,0,"1188611.32"
"Pregão","Sertao","PRIVADO","JFPE","NUTRIÇÃO",57600,0,14112
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",94,0,"863941.78"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",60,0,"11.4"
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",6,0,"270.96"
"Outros","Grande_recife","SUS","Recife","MATERIAL MEDICO HOSPITALAR",98,0,"153.86"
"Outros","Zona_da_mata","SUS","TJPE","MEDICAMENTOS",240,0,"16725.6"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",1000,0,740
"Outros","Grande_recife","FILANTRÓPICO","JEFPC","MEDICAMENTOS",360,0,"190.8"
"Outros","Agreste","SUS","TJPE","MEDICAMENTOS",120,0,22326
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",112,0,"322.56"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",100,0,19
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",28,0,"154.56"
"Outros","Grande_recife","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",240,0,"16951.2"
"Outros","Agreste","FILANTRÓPICO","Olinda","MEDICAMENTOS CONTROLADOS",112,0,"137.76"
"Outros","Grande_recife","FILANTRÓPICO","Olinda","MEDICAMENTOS CONTROLADOS",120,0,96
"Outros","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",81,0,"120.69"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",210,0,"270.9"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",30,0,"299.4"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",180,0,"84.6"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",1500,0,840
"Pregão","Zona_da_mata","SUS","JFPE","NUTRIÇÃO",9600,8736,8736
"Pregão","Grande_recife","PRIVADO","Recife","NUTRIÇÃO",360000,9540,9540
"Pregão","Agreste","PRIVADO","JEFPC","NUTRIÇÃO",12600,0,13797
"Pregão","Sertao","FILANTRÓPICO","Olinda","NUTRIÇÃO",28800,0,13824
"Outros","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",2,0,"22.8"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS",1,0,"450.94"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",2,0,"363.4"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS CONTROLADOS",280,0,"344.4"
"Outros","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",12400,0,6076
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",720,0,51444
"Outros","Zona_da_mata","PRIVADO","TJPE","MEDICAMENTOS",2,0,"901.88"
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",2,0,"2117.42"
"Outros","Grande_recife","PRIVADO","JEFPC","MEDICAMENTOS CONTROLADOS",200,0,54
"Outros","Agreste","FILANTRÓPICO","TJPE","MEDICAMENTOS",168,0,"319.2"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",56,0,"25.2"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS CONTROLADOS",100,0,27
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",600,0,41814
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",28,0,"36900.36"
"Outros","Agreste","FILANTRÓPICO","Olinda","MEDICAMENTOS",120,0,"136.8"
"Outros","Grande_recife","PRIVADO","Olinda","MEDICAMENTOS",4,0,"1487.12"
"Outros","Zona_da_mata","SUS","Recife","NUTRIÇÃO",24000,0,11760
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",32,0,"82.88"
"Outros","Sertao","SUS","JFPE","MEDICAMENTOS",42,0,"55350.54"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",30,0,"34.2"
"Outros","Zona_da_mata","SUS","Recife","NUTRIÇÃO",2500,0,5675
"Pregão","Zona_da_mata","FILANTRÓPICO","JFPE","NUTRIÇÃO",3600,0,765
"Pregão","Grande_recife","SUS","Recife","NUTRIÇÃO",180000,0,18936
"Pregão","Agreste","PRIVADO","JEFPC","NUTRIÇÃO",9600,0,1392
"Pregão","Sertao","SUS","Olinda","NUTRIÇÃO",28800,0,"14207.04"
"Pregão","Grande_recife","PRIVADO","JFPE","NUTRIÇÃO",24000,0,7032
"Pregão","Sertao","SUS","JFPE","MEDICAMENTOS",360,0,"115423.2"
"Pregão","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",18,0,"210781.44"
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",96,0,"499138.56"
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",540,0,15417
"Pregão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",37,0,"313089.93"
"Pregão","Zona_da_mata","FILANTRÓPICO","TJPE","MEDICAMENTOS",1890,0,"53959.5"
"Pregão","Agreste","NÃO INFORMADO","Recife","MEDICAMENTOS",100,0,522773
"Pregão","Grande_recife","SUS","JEFPC","MEDICAMENTOS",2640,53724,53724
"Outros","Agreste","SUS","TJPE","MEDICAMENTOS",90,0,"16744.5"
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",540,0,"178.2"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS CONTROLADOS",150,0,372
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS CONTROLADOS",120,0,"265.2"
"Pregão","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",8,0,"68441.28"
"Pregão","Agreste","FILANTRÓPICO","Olinda","MEDICAMENTOS",18,0,"238306.32"
"Pregão","Grande_recife","PRIVADO","Olinda","MEDICAMENTOS",63,0,6615
"Pregão","Zona_da_mata","NÃO INFORMADO","Recife","MEDICAMENTOS",720,0,"129463.2"
"Outros","Agreste","SUS","Recife","MATERIAL MEDICO HOSPITALAR",3,0,117
"Outros","Sertao","SUS","JFPE","MEDICAMENTOS",330,0,"108.9"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",540,0,"16081.2"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",60,0,"68.4"
"Outros","Zona_da_mata","PRIVADO","JFPE","MEDICAMENTOS",12,0,"137.76"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",168,0,"278.88"
"Outros","Agreste","PRIVADO","JEFPC","MEDICAMENTOS",3,0,"119.91"
"Outros","Sertao","SUS","Olinda","MEDICAMENTOS CONTROLADOS",180,0,"446.4"
"Outros","Grande_recife","SUS","JFPE","MEDICAMENTOS CONTROLADOS",28,0,"10.36"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",180,0,"232.2"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",60,0,"308.4"
"Pregão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",15000,31050,31050
"Pregão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",18,0,"95874.66"
"Adesão","Grande_recife","SUS","Recife","MEDICAMENTOS",140,0,"225094.8"
"Pregão","Zona_da_mata","NÃO INFORMADO","TJPE","MEDICAMENTOS",720,0,"38959.2"
"Pregão","Agreste","SUS","Recife","MEDICAMENTOS",360,0,"64731.6"
"Pregão","Grande_recife","PRIVADO","JEFPC","MEDICAMENTOS",100,0,2116
"Pregão","Agreste","FILANTRÓPICO","TJPE","MEDICAMENTOS",230,"33797.4","59795.4"
"Pregão","Agreste","PRIVADO","Recife","MEDICAMENTOS",18,"95874.66","95874.66"
"Adesão","Grande_recife","SUS","TJPE","MEDICAMENTOS",450,"175.5","175.5"
"Pregão","Grande_recife","PRIVADO","Jaboatao","MEDICAMENTOS",7980,"44.1","11730.6"
"Adesão","Grande_recife","PRIVADO","Jaboatao","MEDICAMENTOS",330,0,"676.5"
"Adesão","Agreste","SUS","Olinda","MEDICAMENTOS",240,0,"309.6"
"Adesão","Grande_recife","PRIVADO","Olinda","MEDICAMENTOS",600,0,234
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",184,0,"3514.4"
"Outros","Agreste","NÃO INFORMADO","TJPE","MEDICAMENTOS",120,0,5238
"Pregão","Sertao","NÃO INFORMADO","Recife","MEDICAMENTOS",672,0,"90202.56"
"Pregão","Grande_recife","FILANTRÓPICO","JEFPC","MEDICAMENTOS CONTROLADOS",2100,"6768.93","6768.93"
"Pregão","Zona_da_mata","FILANTRÓPICO","TJPE","MEDICAMENTOS",924,0,"2624.16"
"Pregão","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",2700,0,702
"Pregão","Grande_recife","PRIVADO","TJPE","MEDICAMENTOS",1200,"1462.5",4500
"Pregão","Agreste","SUS","Jaboatao","MEDICAMENTOS",1728,"3317.76","3317.76"
"Pregão","Sertao","SUS","Jaboatao","MEDICAMENTOS",30,0,"29594.7"
"Pregão","Grande_recife","SUS","Olinda","MEDICAMENTOS",30,0,"36369.9"
"Pregão","Sertao","SUS","Olinda","MEDICAMENTOS CONTROLADOS",720,0,"4341.6"
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",112,0,"137277.28"
"Pregão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",360,0,16182
"Pregão","Grande_recife","SUS","JFPE","MEDICAMENTOS",10,772,772
"Dispensa","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",1620,0,46251
"Pregão","Zona_da_mata","NÃO INFORMADO","Recife","MEDICAMENTOS",1890,0,"53959.5"
"Pregão","Agreste","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",1800,0,4392
"Pregão","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",1200,0,1956
"Pregão","Agreste","FILANTRÓPICO","JEFPC","MEDICAMENTOS",6900,0,40089
"Pregão","Agreste","SUS","Olinda","MEDICAMENTOS",3000,0,10500
"Pregão","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",1440,"56692.8","56692.8"
"Pregão","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS",504,0,"68392.8"
"Pregão","Grande_recife","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",84,0,"12363.96"
"Pregão","Agreste","PRIVADO","Recife","MEDICAMENTOS",546,0,"80365.74"
"Pregão","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",360,0,"38545.2"
"Pregão","Zona_da_mata","SUS","Recife","MEDICAMENTOS",180,0,"8456.4"
"Pregão","Agreste","SUS","TJPE","MEDICAMENTOS",34,0,"87521.44"
"Pregão","Sertao","PRIVADO","Recife","MEDICAMENTOS",360,0,"77353.2"
"Pregão","Grande_recife","FILANTRÓPICO","JEFPC","MEDICAMENTOS",180,0,"15699.6"
"Pregão","Zona_da_mata","FILANTRÓPICO","TJPE","MEDICAMENTOS",1080,116910,116910
"Pregão","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",1620,0,"2559.6"
"Pregão","Grande_recife","SUS","TJPE","MEDICAMENTOS",360,0,38970
"Pregão","Agreste","PRIVADO","Jaboatao","MEDICAMENTOS",720,0,"77090.4"
"Pregão","Sertao","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",1,0,"773.8"
"Pregão","Grande_recife","SUS","Olinda","MEDICAMENTOS",600,0,480
"Pregão","Sertao","NÃO INFORMADO","Olinda","MEDICAMENTOS",480,0,"5673.6"
"Pregão","Grande_recife","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",2880,"1866.9","3657.6"
"Pregão","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",540,"1548.18","1548.18"
"Pregão","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS",6,822,822
"Pregão","Grande_recife","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",240,"1732.8","1732.8"
"Pregão","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",1200,0,744
"Pregão","Agreste","FILANTRÓPICO","JFPE","MEDICAMENTOS",600,0,2544
"Pregão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",300,0,5439
"Pregão","Agreste","SUS","JEFPC","MEDICAMENTOS",70,0,"65099.3"
"Pregão","Agreste","FILANTRÓPICO","Olinda","MEDICAMENTOS",360,0,"75729.6"
"Pregão","Grande_recife","SUS","JFPE","MEDICAMENTOS",1080,0,"3682.8"
"Pregão","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",7,0,"78667.26"
"Pregão","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",728,0,"10905.44"
"Pregão","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",364,0,"38562.16"
"Pregão","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",22,0,"57255.66"
"Pregão","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",1080,0,116910
"Pregão","Agreste","PRIVADO","TJPE","MEDICAMENTOS",6,"15615.18","15615.18"
"Pregão","Sertao","SUS","Recife","MEDICAMENTOS",720,0,"3938.4"
"Pregão","Grande_recife","SUS","JEFPC","MEDICAMENTOS",360,38970,38970
"Pregão","Zona_da_mata","PRIVADO","TJPE","MEDICAMENTOS",170,0,"16107.5"
"Pregão","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS",1500,0,1410
"Pregão","Grande_recife","SUS","TJPE","MEDICAMENTOS",16,0,"136882.56"
"Pregão","Agreste","SUS","Jaboatao","MEDICAMENTOS",1620,0,"46753.2"
"Pregão","Sertao","SUS","Jaboatao","MEDICAMENTOS",16,0,"732.32"
"Pregão","Grande_recife","SUS","Olinda","MEDICAMENTOS CONTROLADOS",360,0,"2055.6"
"Pregão","Sertao","PRIVADO","Olinda","MEDICAMENTOS",720,0,77940
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",18,0,"43261.56"
"Pregão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",34,0,"330951.24"
"Pregão","Grande_recife","NÃO INFORMADO","JFPE","MEDICAMENTOS",50,0,"1449.5"
"Pregão","Grande_recife","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",300,0,276
"Pregão","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",1200,"10.9",1308
"Pregão","Agreste","PRIVADO","JFPE","MEDICAMENTOS CONTROLADOS",1500,0,2760
"Pregão","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",1500,0,7440
"Pregão","Agreste","NÃO INFORMADO","JEFPC","MEDICAMENTOS",1200,1164,1164
"Pregão","Agreste","PRIVADO","Olinda","MEDICAMENTOS",180,0,"1015.2"
"Pregão","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",24,"108409.2","108409.2"
"Pregão","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",196,"1777.72","1777.72"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",1,"528.28","528.28"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",3,"2134.59","2134.59"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",4,"4044.12","4044.12"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",1,"856.74","856.74"
"Outros","Agreste","SUS","TJPE","MEDICAMENTOS",22,"22829.4","22829.4"
"Pregão","Sertao","SUS","Recife","MEDICAMENTOS",360,"76561.2","76561.2"
"Pregão","Grande_recife","FILANTRÓPICO","JEFPC","MEDICAMENTOS",22,"57255.66","57255.66"
"Pregão","Zona_da_mata","NÃO INFORMADO","TJPE","MEDICAMENTOS",910,"38820.6","38820.6"
"Pregão","Zona_da_mata","SUS","Recife","MEDICAMENTOS",360,85000,116694
"Outros","Grande_recife","PRIVADO","TJPE","MEDICAMENTOS",5,180888,"1043907.29"
"Outros","Agreste","PRIVADO","Jaboatao","MEDICAMENTOS",28,1200,"1512.84"
"Outros","Sertao","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",56,"80.04","92.96"
"Pregão","Grande_recife","FILANTRÓPICO","Olinda","NUTRIÇÃO",630000,17073,17073
"Pregão","Sertao","SUS","Olinda","NUTRIÇÃO",14400,1296,1296
"Pregão","Grande_recife","SUS","Recife","NUTRIÇÃO",64800,"8145.36","8145.36"
