"Tipo_Aquisicao","Municipio","Origem","Comarca","Conta_Contabil","Qtd_Comprada","Valor_a_receber","Valor_Comprado","Restituido"
"Outros","Zona_da_mata","SUS","Olinda","NUTRIÇÃO",9600,0,888,"Sim"
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",360,72,1080,"Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",180,"90617.4","90617.4","Sim"
"Outros","Agreste","FILANTRÓPICO","JFPE","MEDICAMENTOS",8,0,"34356.8","Nao"
"Outros","Agreste","PRIVADO","Recife","NUTRIÇÃO",24000,0,5880,"Sim"
"Outros","Grande_recife","SUS","Recife","NUTRIÇÃO",1400,0,266,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","JFPE","MATERIAL MEDICO HOSPITALAR",4,0,"3.96","Nao"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",600,0,600,"Nao"
"Outros","Agreste","PRIVADO","JEFPC","MEDICAMENTOS CONTROLADOS",224,0,"1113.28","Sim"
"Outros","Grande_recife","NÃO INFORMADO","Olinda","MEDICAMENTOS CONTROLADOS",600,0,1596,"Sim"
"Outros","Zona_da_mata","PRIVADO","JFPE","MEDICAMENTOS",5,0,"3890.2","Sim"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS",120,0,"12458.4","Nao"
"Outros","Sertao","SUS","Jaboatao","NUTRIÇÃO",15000,0,34050,"Sim"
"Outros","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",283200,25488,25488,"Nao"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","NUTRIÇÃO",250,0,"582.5","Sim"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",2100,0,588,"Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",12,0,"122.88","Sim"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",540,0,1701,"Nao"
"Outros","Sertao","FILANTRÓPICO","JEFPC","MEDICAMENTOS CONTROLADOS",5100,0,2907,"Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",360,"18849.6","18849.6","Sim"
"Outros","Sertao","FILANTRÓPICO","Recife","NUTRIÇÃO",16000,0,7840,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MATERIAL MEDICO HOSPITALAR",2800,0,"4557.84","Nao"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","NUTRIÇÃO",1506000,0,"32077.8","Sim"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",1344,0,"72979.2","Nao"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",6,0,"14352.6","Nao"
"Outros","Zona_da_mata","PRIVADO","Olinda","NUTRIÇÃO",16800,0,2520,"Sim"
"Outros","Agreste","FILANTRÓPICO","Recife","SUPRIMENTOS",1080,0,"950.4","Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",90,0,"802.8","Sim"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS",90,0,"802.8","Nao"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",2,0,"8589.2","Sim"
"Outros","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",223200,0,31248,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","JFPE","NUTRIÇÃO",192000,0,2880,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",1200,0,864,"Nao"
"Outros","Agreste","FILANTRÓPICO","JEFPC","MEDICAMENTOS CONTROLADOS",360,0,"140.4","Sim"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",720,0,"1216.8","Sim"
"Outros","Zona_da_mata","NÃO INFORMADO","JFPE","MEDICAMENTOS",540,0,"10216.8","Sim"
"Outros","Agreste","SUS","JFPE","NUTRIÇÃO",74400,0,18228,"Nao"
"Outros","Sertao","PRIVADO","Jaboatao","MEDICAMENTOS",720,0,"51055.2","Sim"
"Outros","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",30000,0,2700,"Nao"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",100,0,24,"Sim"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",30,0,"24.9","Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",2,0,"636.6","Sim"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",200,0,"122.12","Nao"
"Outros","Sertao","FILANTRÓPICO","JEFPC","MEDICAMENTOS",100,0,"124.91","Sim"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS CONTROLADOS",30,0,"8.4","Sim"
"Outros","Sertao","NÃO INFORMADO","Recife","NUTRIÇÃO",6600,0,396,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",12,0,"51535.2","Nao"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",2,0,"8589.2","Sim"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",15,0,"61524.3","Nao"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",1440,100,3600,"Nao"
"Outros","Zona_da_mata","NÃO INFORMADO","Olinda","NUTRIÇÃO",9600,0,2352,"Sim"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",196,0,"472.36","Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",8,0,"67189.36","Sim"
"Outros","Agreste","PRIVADO","JFPE","MEDICAMENTOS",180,56633256,56633256,"Nao"
"Outros","Agreste","NÃO INFORMADO","Recife","MEDICAMENTOS",2,0,4564,"Sim"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",30,0,"99947.4","Nao"
"Outros","Grande_recife","SUS","JFPE","NUTRIÇÃO",12000,0,360,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",2,0,"22617.8372","Nao"
"Outros","Agreste","SUS","JEFPC","MATERIAL MEDICO HOSPITALAR",190,0,"153.9","Sim"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",6,0,"3124.32","Sim"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",2,0,"22617.84","Sim"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS",4,0,"8782.64","Nao"
"Outros","Sertao","SUS","Jaboatao","MEDICAMENTOS",180,0,"437.4","Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",100,0,294,"Nao"
"Outros","Zona_da_mata","NÃO INFORMADO","Recife","MEDICAMENTOS",9,0,"2864.7","Sim"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",65,0,"2267.85","Sim"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",90,0,"218.7","Sim"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",360,0,"22384.8","Nao"
"Outros","Sertao","SUS","JEFPC","MEDICAMENTOS",28,0,"5400.64","Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",100,0,47,"Sim"
"Outros","Sertao","NÃO INFORMADO","Recife","MEDICAMENTOS",60,0,"8293.8","Nao"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",84,0,"193.2","Nao"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",90,0,"1093.5","Sim"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS CONTROLADOS",160,0,"38.4","Nao"
"Outros","Grande_recife","PRIVADO","Olinda","MEDICAMENTOS CONTROLADOS",90,0,"5.4","Nao"
"Outros","Zona_da_mata","PRIVADO","Olinda","MEDICAMENTOS CONTROLADOS",60,0,"172.8","Sim"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS CONTROLADOS",90,0,"199.8","Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS CONTROLADOS",90,0,99,"Sim"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS",50,0,"1420.5","Nao"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",60,0,"36.6","Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",62,0,"106.64","Nao"
"Outros","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS",2,0,"631.06","Nao"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",320,0,368,"Nao"
"Outros","Agreste","SUS","JEFPC","MEDICAMENTOS CONTROLADOS",60,0,"172.8","Sim"
"Outros","Grande_recife","SUS","Olinda","NUTRIÇÃO",24000,0,1440,"Sim"
"Outros","Zona_da_mata","FILANTRÓPICO","JFPE","ANTIMICROBIANOS",42,0,"7.56","Sim"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS",5,0,"8071.55","Nao"
"Outros","Sertao","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",13,0,"151055.19","Sim"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",15,0,"31466.4","Nao"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",17,0,"228790.76","Sim"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",8,0,"4.64","Sim"
"Outros","Grande_recife","PRIVADO","TJPE","MEDICAMENTOS",3,0,"5011.23","Sim"
"Outros","Agreste","PRIVADO","Recife","EQUIPAMENTOS HOSPITALARES / MOBILIÁRIOS",1,0,"1301.65","Nao"
"Outros","Sertao","PRIVADO","JEFPC","MEDICAMENTOS",315,"2750.85","57767.85","Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",945,"2750.85","173303.55","Sim"
"Outros","Sertao","SUS","Recife","MEDICAMENTOS",90,0,"792.9","Nao"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",540,0,"275167.8","Nao"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","NUTRIÇÃO",60000,0,5100,"Sim"
"Outros","Grande_recife","SUS","Jaboatao","NUTRIÇÃO",12000,0,960,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","Olinda","MEDICAMENTOS",30,0,"154815.9","Nao"
"Outros","Zona_da_mata","SUS","Olinda","MEDICAMENTOS",180,0,"590.4","Sim"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",180,0,"383.4","Nao"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",180,0,"4330.8","Sim"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS CONTROLADOS",180,0,"2887.2","Nao"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",2200,"4468.42","4468.42","Sim"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",210,0,"7104.3","Nao"
"Outros","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",14,0,3262,"Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",210,0,"10443.3","Nao"
"Outros","Agreste","PRIVADO","JEFPC","MEDICAMENTOS",182,0,"342.16","Sim"
"Outros","Grande_recife","FILANTRÓPICO","Olinda","MEDICAMENTOS",3,0,"5011.23","Sim"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS CONTROLADOS",224,0,4536,"Sim"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS CONTROLADOS",60,0,"511.2","Nao"
"Outros","Sertao","SUS","Jaboatao","NUTRIÇÃO",15750,0,3150,"Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",180,0,"376.2","Nao"
"Outros","Zona_da_mata","SUS","Recife","NUTRIÇÃO",1800,0,378,"Sim"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","EQUIPAMENTOS HOSPITALARES / MOBILIÁRIOS",12,0,"4198.8","Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS CONTROLADOS",1200,0,12696,"Sim"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",2400,0,29592,"Nao"
"Outros","Sertao","PRIVADO","JEFPC","MEDICAMENTOS CONTROLADOS",360,0,"18849.6","Sim"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",190,0,"474333.1","Sim"
"Outros","Sertao","SUS","Recife","MEDICAMENTOS",3000,0,201660,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",9000,0,773910,"Nao"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",1456,0,"160902.56","Sim"
"Pregão","Grande_recife","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",1620,0,"19828.8","Nao"
"Pregão","Grande_recife","NÃO INFORMADO","Olinda","MEDICAMENTOS CONTROLADOS",4800,0,1056,"Nao"
"Dispensa","Zona_da_mata","FILANTRÓPICO","Olinda","MEDICAMENTOS",360,0,"993.6","Sim"
"Dispensa","Agreste","SUS","Recife","MEDICAMENTOS",720,0,"51055.2","Nao"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",120,0,"50.4","Sim"
"Outros","Agreste","PRIVADO","JFPE","MEDICAMENTOS",160,0,8,"Nao"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",12,0,"3786.36","Sim"
"Outros","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",30,0,"14.1","Nao"
"Outros","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",60,0,9,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",120,0,"621.6","Nao"
"Outros","Agreste","SUS","JEFPC","MEDICAMENTOS",140,0,"390.6","Sim"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",90,0,"142.2","Sim"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",3,0,"12485.55","Sim"
"Outros","Agreste","FILANTRÓPICO","JFPE","MEDICAMENTOS",30,0,"21.6","Nao"
"Outros","Sertao","FILANTRÓPICO","Jaboatao","MEDICAMENTOS CONTROLADOS",180,0,"142.2","Sim"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",18,0,117,"Nao"
"Outros","Zona_da_mata","SUS","Recife","NUTRIÇÃO",19200,0,2304,"Sim"
"Pregão","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",37,"494181.99","494181.99","Sim"
"Dispensa","Grande_recife","FILANTRÓPICO","TJPE","NUTRIÇÃO",12000,0,1110,"Sim"
"Dispensa","Agreste","NÃO INFORMADO","Recife","NUTRIÇÃO",19200,0,1680,"Nao"
"Dispensa","Sertao","SUS","JEFPC","NUTRIÇÃO",57600,0,25920,"Sim"
"Dispensa","Grande_recife","PRIVADO","TJPE","EQUIPAMENTOS HOSPITALARES / MOBILIÁRIOS",1,0,1650,"Sim"
"Dispensa","Sertao","PRIVADO","Recife","NUTRIÇÃO",6000,0,120,"Nao"
"Outros","Grande_recife","PRIVADO","TJPE","NUTRIÇÃO",1200,0,144,"Nao"
"Dispensa","Grande_recife","FILANTRÓPICO","Jaboatao","NUTRIÇÃO",43200,0,9072,"Sim"
"Dispensa","Grande_recife","FILANTRÓPICO","Jaboatao","NUTRIÇÃO",25200,0,27720,"Nao"
"Inexigibilidade","Grande_recife","SUS","Olinda","MEDICAMENTOS",360,0,"111848.4","Nao"
"Inexigibilidade","Zona_da_mata","PRIVADO","Olinda","MEDICAMENTOS",27,0,"142737.66","Sim"
"Inexigibilidade","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",66,0,"68593.8","Nao"
"Dispensa","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",19200,0,9408,"Sim"
"Pregão","Agreste","SUS","JFPE","MATERIAL MEDICO HOSPITALAR",34500,0,10350,"Nao"
"Pregão","Agreste","FILANTRÓPICO","Recife","MATERIAL MEDICO HOSPITALAR",7000,0,73220,"Sim"
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS CONTROLADOS",600,0,168,"Nao"
"Outros","Grande_recife","SUS","JFPE","MATERIAL MEDICO HOSPITALAR",180,0,270,"Nao"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",10,0,"170.6","Nao"
"Outros","Agreste","FILANTRÓPICO","JEFPC","MEDICAMENTOS",60,0,"1005.6","Sim"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",5,0,600,"Sim"
